comName
Great Crested Flycatcher
Western Kingbird
Eastern Kingbird
flycatcher sp. (Tyrannidae sp.)
White-eyed Vireo
Yellow-throated Vireo
Blue-headed Vireo
Philadelphia Vireo
Warbling Vireo
Red-eyed Vireo
Red-eyed/Chivi Vireo
vireo sp.
Northern Shrike
Blue Jay
American Crow
Fish Crow
crow sp.
Common Raven
crow/raven sp.
Carolina Chickadee
Black-capped Chickadee
Carolina x Black-capped Chickadee (hybrid)
Carolina/Black-capped Chickadee
chickadee sp.
Tufted Titmouse
Horned Lark
Martins and Swallows
Northern Rough-winged Swallow
Purple Martin
Tree Swallow
Bank Swallow
Barn Swallow
Cliff Swallow
swallow sp.
Golden-crowned Kinglet
Ruby-crowned Kinglet
kinglet sp.
Red-breasted Nuthatch
White-breasted Nuthatch
nuthatch sp.
Brown Creeper
Blue-gray Gnatcatcher
House Wren
Winter Wren
Sedge Wren
Marsh Wren
Carolina Wren
wren sp.
European Starling
Gray Catbird
Brown Thrasher
Northern Mockingbird
Eastern Bluebird
Varied Thrush
Veery
Gray-cheeked Thrush
Bicknell's Thrush
Gray-cheeked/Bicknell's Thrush
Swainson's Thrush
Hermit Thrush
Catharus sp.
Wood Thrush
American Robin
thrush sp.
Cedar Waxwing
House Sparrow
American Pipit
House Finch
Purple Finch
House/Purple Finch
Common Redpoll
Pine Siskin
American Goldfinch
finch sp.
Lapland Longspur
Snow Bunting
Grasshopper Sparrow
Chipping Sparrow
Clay-colored Sparrow
Field Sparrow
Lark Sparrow
American Tree Sparrow
Spizella sp./American Tree Sparrow
Fox Sparrow
Dark-eyed Junco
White-crowned Sparrow
Harris's Sparrow
White-throated Sparrow
White-crowned/White-throated Sparrow
Dark-eyed Junco x White-throated Sparrow (hybrid)
Vesper Sparrow
LeConte's Sparrow
Seaside Sparrow
Savannah Sparrow
Henslow's Sparrow
Song Sparrow
Lincoln's Sparrow
Swamp Sparrow
Eastern Towhee
Spotted/Eastern Towhee (Rufous-sided Towhee)
sparrow sp.
Yellow-breasted Chat
Blackbirds
Yellow-headed Blackbird
Bobolink
Eastern Meadowlark
Orchard Oriole
Baltimore Oriole
new world oriole sp.
Red-winged Blackbird
Brown-headed Cowbird
Rusty Blackbird
Common Grackle
blackbird sp.
Ovenbird
Worm-eating Warbler
Louisiana Waterthrush
Northern Waterthrush
Louisiana/Northern Waterthrush
Golden-winged Warbler
Blue-winged Warbler
Golden-winged x Blue-winged Warbler (hybrid)
Brewster's Warbler (hybrid)
Lawrence's Warbler (hybrid)
Golden-winged/Blue-winged Warbler
Black-and-white Warbler
Prothonotary Warbler
Swainson's Warbler
Tennessee Warbler
Orange-crowned Warbler
Nashville Warbler
Connecticut Warbler
Mourning Warbler
Kentucky Warbler
Common Yellowthroat
Hooded Warbler
American Redstart
Cape May Warbler
Cerulean Warbler
Northern Parula
Magnolia Warbler
Bay-breasted Warbler
Blackburnian Warbler
Yellow Warbler
Chestnut-sided Warbler
Blackpoll Warbler
Bay-breasted/Blackpoll Warbler
Black-throated Blue Warbler
Palm Warbler
Pine Warbler
Yellow-rumped Warbler
Yellow-throated Warbler
Prairie Warbler
Black-throated Gray Warbler
Black-throated Green Warbler
Canada Warbler
Wilson's Warbler
warbler sp. (Parulidae sp.)
Summer Tanager
Scarlet Tanager
Western Tanager
tanager sp. (Piranga sp.)
Northern Cardinal
Rose-breasted Grosbeak
Blue Grosbeak
Indigo Bunting
Painted Bunting
Dickcissel
passerine sp.
bird sp.
