comName,sciName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyComName,familySciName,reportAs,extinct,extinctYear
Glossy/White-faced Ibis,Plegadis falcinellus/chihi,plegad,slash,7271.0,[],"['WFIB', 'GLIB']","['PLCH', 'PLFA']",Pelecaniformes,Ibises and Spoonbills,Threskiornithidae,,,
Black Vulture,Coragyps atratus,blkvul,species,7334.0,['BLVU'],['ABVU'],['COAT'],Cathartiformes,New World Vultures,Cathartidae,,,
Turkey Vulture,Cathartes aura,turvul,species,7338.0,['TUVU'],[],['CAAU'],Cathartiformes,New World Vultures,Cathartidae,,,
Swallow-tailed Kite,Elanoides forficatus,swtkit,species,7408.0,['STKI'],[],['ELFO'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Golden Eagle,Aquila chrysaetos,goleag,species,7584.0,['GOEA'],[],['AQCH'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Mississippi Kite,Ictinia mississippiensis,miskit,species,7631.0,['MIKI'],[],['ICMI'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Northern Harrier,Circus hudsonius,norhar2,species,7653.0,['NOHA'],[],['CIHU'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Sharp-shinned Hawk,Accipiter striatus,shshaw,species,7816.0,['SSHA'],['SSBB'],['ACST'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Cooper's Hawk,Accipiter cooperii,coohaw,species,7829.0,['COHA'],[],['ACCO'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,y00612,slash,7830.0,[],"['COHA', 'SSBB', 'SSHA']","['ACCO', 'ACST']",Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Northern Goshawk,Accipiter gentilis,norgos,species,7846.0,['NOGO'],[],['ACGE'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Bald Eagle,Haliaeetus leucocephalus,baleag,species,7885.0,['BAEA'],[],['HALE'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,y00944,slash,7888.0,[],"['BAEA', 'GOEA']","['AQCH', 'HALE']",Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Red-shouldered Hawk,Buteo lineatus,reshaw,species,7984.0,['RSHA'],[],['BULI'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Broad-winged Hawk,Buteo platypterus,brwhaw,species,7993.0,['BWHA'],[],['BUPL'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Red-shouldered/Broad-winged Hawk,Buteo lineatus/platypterus,y00773,slash,8001.0,[],"['RSHA', 'BWHA']","['BUPL', 'BULI']",Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Red-tailed Hawk,Buteo jamaicensis,rethaw,species,8011.0,['RTHA'],[],['BUJA'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Red-shouldered x Red-tailed Hawk (hybrid),Buteo lineatus x jamaicensis,x00686,hybrid,8030.0,[],"['RSHA', 'RTHA']","['BUJA', 'BULI']",Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Rough-legged Hawk,Buteo lagopus,rolhaw,species,8031.0,['RLHA'],['RLBU'],['BULA'],Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,
Barn Owl,Tyto alba,brnowl,species,8110.0,['BANO'],"['BAOW', 'WBOW']",['TYAL'],Strigiformes,Barn-Owls,Tytonidae,,,
Eastern Screech-Owl,Megascops asio,easowl1,species,8358.0,['EASO'],['ESOW'],['MEAS'],Strigiformes,Owls,Strigidae,,,
Great Horned Owl,Bubo virginianus,grhowl,species,8399.0,['GHOW'],[],['BUVI'],Strigiformes,Owls,Strigidae,,,
Snowy Owl,Bubo scandiacus,snoowl1,species,8461.0,['SNOW'],[],['BUSC'],Strigiformes,Owls,Strigidae,,,
Barred Owl,Strix varia,brdowl,species,8693.0,['BADO'],"['NBOW', 'BAOW']",['STVA'],Strigiformes,Owls,Strigidae,,,
Long-eared Owl,Asio otus,loeowl,species,8725.0,['LEOW'],[],['ASOT'],Strigiformes,Owls,Strigidae,,,
Short-eared Owl,Asio flammeus,sheowl,species,8748.0,['SEOW'],"['PUEO', 'PS']",['ASFL'],Strigiformes,Owls,Strigidae,,,
Northern Saw-whet Owl,Aegolius acadicus,nswowl,species,8777.0,['NSWO'],[],['AEAC'],Strigiformes,Owls,Strigidae,,,
Belted Kingfisher,Megaceryle alcyon,belkin1,species,9697.0,['BEKI'],[],['MEAL'],Coraciiformes,Kingfishers,Alcedinidae,,,
Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,species,10549.0,['YBSA'],[],['SPVA'],Piciformes,Woodpeckers,Picidae,,,
Yellow-bellied/Red-naped Sapsucker,Sphyrapicus varius/nuchalis,y00019,slash,10552.0,[],"['RNSA', 'YBSA']","['SPVA', 'SPNU']",Piciformes,Woodpeckers,Picidae,,,
Red-headed Woodpecker,Melanerpes erythrocephalus,rehwoo,species,10567.0,['RHWO'],[],['MEER'],Piciformes,Woodpeckers,Picidae,,,
Red-bellied Woodpecker,Melanerpes carolinus,rebwoo,species,10620.0,['RBWO'],[],['MECA'],Piciformes,Woodpeckers,Picidae,,,
Downy Woodpecker,Dryobates pubescens,dowwoo,species,10805.0,['DOWO'],[],['DRPU'],Piciformes,Woodpeckers,Picidae,,,
Hairy Woodpecker,Dryobates villosus,haiwoo,species,10831.0,['HAWO'],[],['DRVI'],Piciformes,Woodpeckers,Picidae,,,
Downy/Hairy Woodpecker,Dryobates pubescens/villosus,y00322,slash,10852.0,[],"['HAWO', 'DOWO']","['DRVI', 'DRPU']",Piciformes,Woodpeckers,Picidae,,,
Pileated Woodpecker,Dryocopus pileatus,pilwoo,species,11150.0,['PIWO'],[],['DRPI'],Piciformes,Woodpeckers,Picidae,,,
Northern Flicker,Colaptes auratus,norfli,species,11284.0,['NOFL'],[],['COAU'],Piciformes,Woodpeckers,Picidae,,,
American Kestrel,Falco sparverius,amekes,species,11407.0,['AMKE'],[],['FASP'],Falconiformes,Falcons and Caracaras,Falconidae,,,
Merlin,Falco columbarius,merlin,species,11441.0,['MERL'],[],['FACO'],Falconiformes,Falcons and Caracaras,Falconidae,,,
Gyrfalcon,Falco rusticolus,gyrfal,species,11486.0,['GYRF'],['GYFA'],['FARU'],Falconiformes,Falcons and Caracaras,Falconidae,,,
Peregrine Falcon,Falco peregrinus,perfal,species,11487.0,['PEFA'],[],['FAPE'],Falconiformes,Falcons and Caracaras,Falconidae,,,
Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),budger1,domestic,11918.0,[],['BUDG'],['MEUN'],Psittaciformes,Old World Parrots,Psittaculidae,,,
Olive-sided Flycatcher,Contopus cooperi,olsfly,species,16117.0,['OSFL'],[],['COCO'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Eastern Wood-Pewee,Contopus virens,eawpew,species,16135.0,['EAWP'],['EWPE'],['COVI'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Yellow-bellied Flycatcher,Empidonax flaviventris,yebfly,species,16176.0,['YBFL'],[],['EMFL'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Acadian Flycatcher,Empidonax virescens,acafly,species,16177.0,['ACFL'],[],['EMVI'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Alder Flycatcher,Empidonax alnorum,aldfly,species,16178.0,['ALFL'],[],['EMAL'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Willow Flycatcher,Empidonax traillii,wilfly,species,16179.0,['WIFL'],[],['EMTR'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,y00324,slash,16185.0,['TRFL'],"['WIFL', 'ALFL']","['EMTR', 'EMAL']",Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Least Flycatcher,Empidonax minimus,leafly,species,16190.0,['LEFL'],[],['EMMI'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Eastern Phoebe,Sayornis phoebe,easpho,species,16233.0,['EAPH'],[],['SAPH'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Great Crested Flycatcher,Myiarchus crinitus,grcfly,species,16555.0,['GCFL'],[],['MYCR'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Western Kingbird,Tyrannus verticalis,weskin,species,16687.0,['WEKI'],[],['TYVE'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
Eastern Kingbird,Tyrannus tyrannus,easkin,species,16691.0,['EAKI'],[],['TYTY'],Passeriformes,Tyrant Flycatchers,Tyrannidae,,,
White-eyed Vireo,Vireo griseus,whevir,species,18324.0,['WEVI'],[],['VIGR'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Yellow-throated Vireo,Vireo flavifrons,yetvir,species,18374.0,['YTVI'],[],['VIFL'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Blue-headed Vireo,Vireo solitarius,buhvir,species,18380.0,['BHVI'],[],['VISO'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Philadelphia Vireo,Vireo philadelphicus,phivir,species,18395.0,['PHVI'],[],['VIPH'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Warbling Vireo,Vireo gilvus,warvir,species,18396.0,['WAVI'],[],['VIGI'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Red-eyed Vireo,Vireo olivaceus,reevir1,species,18416.0,['REVI'],[],['VIOL'],Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Red-eyed/Chivi Vireo,Vireo olivaceus/chivi,reevir,slash,18432.0,[],"['REVI', 'CHVI']","['VICH', 'VIOL']",Passeriformes,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,,,
Northern Shrike,Lanius borealis,norshr4,species,20170.0,['NSHR'],['NOSH'],['LABO'],Passeriformes,Shrikes,Laniidae,,,
Blue Jay,Cyanocitta cristata,blujay,species,20373.0,['BLJA'],[],['CYCR'],Passeriformes,"Crows, Jays, and Magpies",Corvidae,,,
American Crow,Corvus brachyrhynchos,amecro,species,20638.0,['AMCR'],[],['COBR'],Passeriformes,"Crows, Jays, and Magpies",Corvidae,,,
Fish Crow,Corvus ossifragus,fiscro,species,20653.0,['FICR'],[],['COOS'],Passeriformes,"Crows, Jays, and Magpies",Corvidae,,,
Common Raven,Corvus corax,comrav,species,20703.0,['CORA'],['NORA'],['COCO'],Passeriformes,"Crows, Jays, and Magpies",Corvidae,,,
Carolina Chickadee,Poecile carolinensis,carchi,species,21127.0,['CACH'],[],['POCA'],Passeriformes,"Tits, Chickadees, and Titmice",Paridae,,,
Black-capped Chickadee,Poecile atricapillus,bkcchi,species,21132.0,['BCCH'],[],['POAT'],Passeriformes,"Tits, Chickadees, and Titmice",Paridae,,,
Carolina x Black-capped Chickadee (hybrid),Poecile carolinensis x atricapillus,x00195,hybrid,21142.0,['CBCC'],"['CACH', 'BCCH']","['POCA', 'POAT']",Passeriformes,"Tits, Chickadees, and Titmice",Paridae,,,
Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,y00033,slash,21143.0,[],"['CACH', 'BCCH']","['POCA', 'POAT']",Passeriformes,"Tits, Chickadees, and Titmice",Paridae,,,
Tufted Titmouse,Baeolophus bicolor,tuftit,species,21225.0,['TUTI'],[],['BABI'],Passeriformes,"Tits, Chickadees, and Titmice",Paridae,,,
Horned Lark,Eremophila alpestris,horlar,species,21625.0,['HOLA'],['SHLA'],['ERAL'],Passeriformes,Larks,Alaudidae,,,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,nrwswa,species,23036.0,['NRWS'],[],['STSE'],Passeriformes,Swallows,Hirundinidae,,,
Purple Martin,Progne subis,purmar,species,23051.0,['PUMA'],[],['PRSU'],Passeriformes,Swallows,Hirundinidae,,,
Tree Swallow,Tachycineta bicolor,treswa,species,23074.0,['TRES'],['TRSW'],['TABI'],Passeriformes,Swallows,Hirundinidae,,,
Bank Swallow,Riparia riparia,banswa,species,23105.0,['BANS'],"['SAMA', 'BASW', 'CSMA']",['RIRI'],Passeriformes,Swallows,Hirundinidae,,,
Barn Swallow,Hirundo rustica,barswa,species,23153.0,['BARS'],['BASW'],['HIRU'],Passeriformes,Swallows,Hirundinidae,,,
Cliff Swallow,Petrochelidon pyrrhonota,cliswa,species,23244.0,['CLSW'],['ACSW'],['PEPY'],Passeriformes,Swallows,Hirundinidae,,,
Golden-crowned Kinglet,Regulus satrapa,gockin,species,25790.0,['GCKI'],[],['RESA'],Passeriformes,Kinglets,Regulidae,,,
Ruby-crowned Kinglet,Regulus calendula,ruckin,species,25797.0,['RCKI'],[],['RECA'],Passeriformes,Kinglets,Regulidae,,,
Red-breasted Nuthatch,Sitta canadensis,rebnut,species,25870.0,['RBNU'],[],['SICA'],Passeriformes,Nuthatches,Sittidae,,,
White-breasted Nuthatch,Sitta carolinensis,whbnut,species,25873.0,['WBNU'],[],['SICA'],Passeriformes,Nuthatches,Sittidae,,,
Brown Creeper,Certhia americana,brncre,species,25958.0,['BRCR'],"['AMTR', 'ABCR']",['CEAM'],Passeriformes,Treecreepers,Certhiidae,,,
Blue-gray Gnatcatcher,Polioptila caerulea,buggna,species,26030.0,['BGGN'],[],['POCA'],Passeriformes,Gnatcatchers,Polioptilidae,,,
House Wren,Troglodytes aedon,houwre,species,26127.0,['HOWR'],[],['TRAE'],Passeriformes,Wrens,Troglodytidae,,,
Winter Wren,Troglodytes hiemalis,winwre3,species,26234.0,['WIWR'],['AWWR'],['TRHI'],Passeriformes,Wrens,Troglodytidae,,,
Sedge Wren,Cistothorus platensis,sedwre,species,26242.0,['SEWR'],[],['CIPL'],Passeriformes,Wrens,Troglodytidae,,,
Marsh Wren,Cistothorus palustris,marwre,species,26268.0,['MAWR'],[],['CIPA'],Passeriformes,Wrens,Troglodytidae,,,
Carolina Wren,Thryothorus ludovicianus,carwre,species,26287.0,['CARW'],['CAWR'],['THLU'],Passeriformes,Wrens,Troglodytidae,,,
European Starling,Sturnus vulgaris,eursta,species,26739.0,['EUST'],['COST'],['STVU'],Passeriformes,Starlings,Sturnidae,,,
Gray Catbird,Dumetella carolinensis,grycat,species,26912.0,['GRCA'],[],['DUCA'],Passeriformes,Mockingbirds and Thrashers,Mimidae,,,
Brown Thrasher,Toxostoma rufum,brnthr,species,26950.0,['BRTH'],[],['TORU'],Passeriformes,Mockingbirds and Thrashers,Mimidae,,,
Northern Mockingbird,Mimus polyglottos,normoc,species,27022.0,['NOMO'],[],['MIPO'],Passeriformes,Mockingbirds and Thrashers,Mimidae,,,
Eastern Bluebird,Sialia sialis,easblu,species,27031.0,['EABL'],[],['SISI'],Passeriformes,Thrushes and Allies,Turdidae,,,
Varied Thrush,Ixoreus naevius,varthr,species,27157.0,['VATH'],[],['IXNA'],Passeriformes,Thrushes and Allies,Turdidae,,,
Veery,Catharus fuscescens,veery,species,27215.0,['VEER'],[],['CAFU'],Passeriformes,Thrushes and Allies,Turdidae,,,
Gray-cheeked Thrush,Catharus minimus,gycthr,species,27220.0,['GCTH'],[],['CAMI'],Passeriformes,Thrushes and Allies,Turdidae,,,
Bicknell's Thrush,Catharus bicknelli,bicthr,species,27223.0,['BITH'],[],['CABI'],Passeriformes,Thrushes and Allies,Turdidae,,,
Gray-cheeked/Bicknell's Thrush,Catharus minimus/bicknelli,y00225,slash,27225.0,['GCBT'],"['BITH', 'GCTH']","['CAMI', 'CABI']",Passeriformes,Thrushes and Allies,Turdidae,,,
Swainson's Thrush,Catharus ustulatus,swathr,species,27226.0,['SWTH'],[],['CAUS'],Passeriformes,Thrushes and Allies,Turdidae,,,
Hermit Thrush,Catharus guttatus,herthr,species,27235.0,['HETH'],[],['CAGU'],Passeriformes,Thrushes and Allies,Turdidae,,,
Wood Thrush,Hylocichla mustelina,woothr,species,27249.0,['WOTH'],[],['HYMU'],Passeriformes,Thrushes and Allies,Turdidae,,,
American Robin,Turdus migratorius,amerob,species,27462.0,['AMRO'],[],['TUMI'],Passeriformes,Thrushes and Allies,Turdidae,,,
Cedar Waxwing,Bombycilla cedrorum,cedwax,species,28730.0,['CEDW'],['CEWA'],['BOCE'],Passeriformes,Waxwings,Bombycillidae,,,
House Sparrow,Passer domesticus,houspa,species,30329.0,['HOSP'],[],['PADO'],Passeriformes,Old World Sparrows,Passeridae,,,
American Pipit,Anthus rubescens,amepip,species,30667.0,['AMPI'],['BBPI'],['ANRU'],Passeriformes,Wagtails and Pipits,Motacillidae,,,
House Finch,Haemorhous mexicanus,houfin,species,31084.0,['HOFI'],['MʻMĪ'],['HAME'],Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
Purple Finch,Haemorhous purpureus,purfin,species,31098.0,['PUFI'],[],['HAPU'],Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
House/Purple Finch,Haemorhous mexicanus/purpureus,y00338,slash,31101.0,[],"['PUFI', 'MʻMĪ', 'HOFI']","['HAME', 'HAPU']",Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
Common Redpoll,Acanthis flammea,comred,species,31254.0,['CORE'],[],['ACFL'],Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
Pine Siskin,Spinus pinus,pinsis,species,31361.0,['PISI'],[],['SPPI'],Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
American Goldfinch,Spinus tristis,amegfi,species,31382.0,['AMGO'],[],['SPTR'],Passeriformes,"Finches, Euphonias, and Allies",Fringillidae,,,
Snow Bunting,Plectrophenax nivalis,snobun,species,31431.0,['SNBU'],[],['PLNI'],Passeriformes,Longspurs and Snow Buntings,Calcariidae,,,
Grasshopper Sparrow,Ammodramus savannarum,graspa,species,31686.0,['GRSP'],[],['AMSA'],Passeriformes,New World Sparrows,Passerellidae,,,
Chipping Sparrow,Spizella passerina,chispa,species,31733.0,['CHSP'],[],['SPPA'],Passeriformes,New World Sparrows,Passerellidae,,,
Clay-colored Sparrow,Spizella pallida,clcspa,species,31739.0,['CCSP'],[],['SPPA'],Passeriformes,New World Sparrows,Passerellidae,,,
Field Sparrow,Spizella pusilla,fiespa,species,31746.0,['FISP'],[],['SPPU'],Passeriformes,New World Sparrows,Passerellidae,,,
Lark Sparrow,Chondestes grammacus,larspa,species,31772.0,['LASP'],[],['CHGR'],Passeriformes,New World Sparrows,Passerellidae,,,
American Tree Sparrow,Spizelloides arborea,amtspa,species,31839.0,['ATSP'],[],['SPAR'],Passeriformes,New World Sparrows,Passerellidae,,,
Fox Sparrow,Passerella iliaca,foxspa,species,31843.0,['FOSP'],['FSSP'],['PAIL'],Passeriformes,New World Sparrows,Passerellidae,,,
Dark-eyed Junco,Junco hyemalis,daejun,species,31867.0,['DEJU'],[],['JUHY'],Passeriformes,New World Sparrows,Passerellidae,,,
White-crowned Sparrow,Zonotrichia leucophrys,whcspa,species,31930.0,['WCSP'],[],['ZOLE'],Passeriformes,New World Sparrows,Passerellidae,,,
Harris's Sparrow,Zonotrichia querula,harspa,species,31940.0,['HASP'],[],['ZOQU'],Passeriformes,New World Sparrows,Passerellidae,,,
White-throated Sparrow,Zonotrichia albicollis,whtspa,species,31943.0,['WTSP'],[],['ZOAL'],Passeriformes,New World Sparrows,Passerellidae,,,
White-crowned/White-throated Sparrow,Zonotrichia leucophrys/albicollis,y00332,slash,31945.0,[],"['WCSP', 'WTSP']","['ZOLE', 'ZOAL']",Passeriformes,New World Sparrows,Passerellidae,,,
Dark-eyed Junco x White-throated Sparrow (hybrid),Junco hyemalis x Zonotrichia albicollis,x00039,hybrid,31948.0,[],"['WTSP', 'DEJU']","['ZOAL', 'JUHY']",Passeriformes,New World Sparrows,Passerellidae,,,
LeConte's Sparrow,Ammospiza leconteii,lecspa,species,31963.0,['LCSP'],['LESP'],['AMLE'],Passeriformes,New World Sparrows,Passerellidae,,,
Seaside Sparrow,Ammospiza maritima,seaspa,species,31964.0,['SESP'],[],['AMMA'],Passeriformes,New World Sparrows,Passerellidae,,,
Savannah Sparrow,Passerculus sandwichensis,savspa,species,31986.0,['SAVS'],['SASP'],['PASA'],Passeriformes,New World Sparrows,Passerellidae,,,
Henslow's Sparrow,Centronyx henslowii,henspa,species,32012.0,['HESP'],[],['CEHE'],Passeriformes,New World Sparrows,Passerellidae,,,
Song Sparrow,Melospiza melodia,sonspa,species,32018.0,['SOSP'],[],['MEME'],Passeriformes,New World Sparrows,Passerellidae,,,
Lincoln's Sparrow,Melospiza lincolnii,linspa,species,32051.0,['LISP'],[],['MELI'],Passeriformes,New World Sparrows,Passerellidae,,,
Swamp Sparrow,Melospiza georgiana,swaspa,species,32055.0,['SWSP'],[],['MEGE'],Passeriformes,New World Sparrows,Passerellidae,,,
Eastern Towhee,Pipilo erythrophthalmus,eastow,species,32155.0,['EATO'],[],['PIER'],Passeriformes,New World Sparrows,Passerellidae,,,
Spotted/Eastern Towhee (Rufous-sided Towhee),Pipilo maculatus/erythrophthalmus,y00226,slash,32163.0,['RSTO'],"['SPTO', 'EATO']","['PIMA', 'PIER']",Passeriformes,New World Sparrows,Passerellidae,,,
Yellow-breasted Chat,Icteria virens,yebcha,species,32293.0,['YBCH'],[],['ICVI'],Passeriformes,Yellow-breasted Chat,Icteriidae,,,
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,yehbla,species,32296.0,['YHBL'],[],['XAXA'],Passeriformes,Troupials and Allies,Icteridae,,,
Bobolink,Dolichonyx oryzivorus,boboli,species,32297.0,['BOBO'],[],['DOOR'],Passeriformes,Troupials and Allies,Icteridae,,,
Eastern Meadowlark,Sturnella magna,easmea,species,32301.0,['EAME'],[],['STMA'],Passeriformes,Troupials and Allies,Icteridae,,,
Orchard Oriole,Icterus spurius,orcori,species,32405.0,['OROR'],[],['ICSP'],Passeriformes,Troupials and Allies,Icteridae,,,
Baltimore Oriole,Icterus galbula,balori,species,32492.0,['BAOR'],[],['ICGA'],Passeriformes,Troupials and Allies,Icteridae,,,
Red-winged Blackbird,Agelaius phoeniceus,rewbla,species,32501.0,['RWBL'],[],['AGPH'],Passeriformes,Troupials and Allies,Icteridae,,,
Brown-headed Cowbird,Molothrus ater,bnhcow,species,32557.0,['BHCO'],[],['MOAT'],Passeriformes,Troupials and Allies,Icteridae,,,
Rusty Blackbird,Euphagus carolinus,rusbla,species,32572.0,['RUBL'],[],['EUCA'],Passeriformes,Troupials and Allies,Icteridae,,,
Common Grackle,Quiscalus quiscula,comgra,species,32577.0,['COGR'],[],['QUQU'],Passeriformes,Troupials and Allies,Icteridae,,,
Ovenbird,Seiurus aurocapilla,ovenbi1,species,32667.0,['OVEN'],[],['SEAU'],Passeriformes,New World Warblers,Parulidae,,,
Worm-eating Warbler,Helmitheros vermivorum,woewar1,species,32671.0,['WEWA'],[],['HEVE'],Passeriformes,New World Warblers,Parulidae,,,
Louisiana Waterthrush,Parkesia motacilla,louwat,species,32672.0,['LOWA'],[],['PAMO'],Passeriformes,New World Warblers,Parulidae,,,
Northern Waterthrush,Parkesia noveboracensis,norwat,species,32673.0,['NOWA'],[],['PANO'],Passeriformes,New World Warblers,Parulidae,,,
Louisiana/Northern Waterthrush,Parkesia motacilla/noveboracensis,y00598,slash,32674.0,[],"['LOWA', 'NOWA']","['PAMO', 'PANO']",Passeriformes,New World Warblers,Parulidae,,,
Golden-winged Warbler,Vermivora chrysoptera,gowwar,species,32676.0,['GWWA'],[],['VECH'],Passeriformes,New World Warblers,Parulidae,,,
Blue-winged Warbler,Vermivora cyanoptera,buwwar,species,32677.0,['BWWA'],[],['VECY'],Passeriformes,New World Warblers,Parulidae,,,
Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,x00669,hybrid,32678.0,[],"['BWWA', 'GWWA']","['VECH', 'VECY']",Passeriformes,New World Warblers,Parulidae,,,
Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid),brewar,hybrid,32679.0,['BRWA'],['GWWA'],['VECH'],Passeriformes,New World Warblers,Parulidae,,,
Lawrence's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F2 backcross),lawwar,hybrid,32680.0,['LAWA'],['GWWA'],['VECH'],Passeriformes,New World Warblers,Parulidae,,,
Golden-winged/Blue-winged Warbler,Vermivora chrysoptera/cyanoptera,y00665,slash,32681.0,[],"['BWWA', 'GWWA']","['VECH', 'VECY']",Passeriformes,New World Warblers,Parulidae,,,
Black-and-white Warbler,Mniotilta varia,bawwar,species,32682.0,['BAWW'],[],['MNVA'],Passeriformes,New World Warblers,Parulidae,,,
Prothonotary Warbler,Protonotaria citrea,prowar,species,32683.0,['PROW'],['PRWA'],['PRCI'],Passeriformes,New World Warblers,Parulidae,,,
Swainson's Warbler,Limnothlypis swainsonii,swawar,species,32684.0,['SWWA'],[],['LISW'],Passeriformes,New World Warblers,Parulidae,,,
Tennessee Warbler,Leiothlypis peregrina,tenwar,species,32692.0,['TEWA'],[],['LEPE'],Passeriformes,New World Warblers,Parulidae,,,
Orange-crowned Warbler,Leiothlypis celata,orcwar,species,32693.0,['OCWA'],[],['LECE'],Passeriformes,New World Warblers,Parulidae,,,
Nashville Warbler,Leiothlypis ruficapilla,naswar,species,32701.0,['NAWA'],[],['LERU'],Passeriformes,New World Warblers,Parulidae,,,
Connecticut Warbler,Oporornis agilis,conwar,species,32709.0,['CONW'],['COWA'],['OPAG'],Passeriformes,New World Warblers,Parulidae,,,
Mourning Warbler,Geothlypis philadelphia,mouwar,species,32724.0,['MOWA'],[],['GEPH'],Passeriformes,New World Warblers,Parulidae,,,
Kentucky Warbler,Geothlypis formosa,kenwar,species,32729.0,['KEWA'],[],['GEFO'],Passeriformes,New World Warblers,Parulidae,,,
Common Yellowthroat,Geothlypis trichas,comyel,species,32744.0,['COYE'],[],['GETR'],Passeriformes,New World Warblers,Parulidae,,,
Hooded Warbler,Setophaga citrina,hoowar,species,32772.0,['HOWA'],[],['SECI'],Passeriformes,New World Warblers,Parulidae,,,
American Redstart,Setophaga ruticilla,amered,species,32773.0,['AMRE'],[],['SERU'],Passeriformes,New World Warblers,Parulidae,,,
Cape May Warbler,Setophaga tigrina,camwar,species,32775.0,['CMWA'],[],['SETI'],Passeriformes,New World Warblers,Parulidae,,,
Cerulean Warbler,Setophaga cerulea,cerwar,species,32776.0,['CERW'],['CEWA'],['SECE'],Passeriformes,New World Warblers,Parulidae,,,
Northern Parula,Setophaga americana,norpar,species,32777.0,['NOPA'],[],['SEAM'],Passeriformes,New World Warblers,Parulidae,,,
Magnolia Warbler,Setophaga magnolia,magwar,species,32793.0,['MAWA'],[],['SEMA'],Passeriformes,New World Warblers,Parulidae,,,
Bay-breasted Warbler,Setophaga castanea,babwar,species,32795.0,['BBWA'],[],['SECA'],Passeriformes,New World Warblers,Parulidae,,,
Blackburnian Warbler,Setophaga fusca,bkbwar,species,32796.0,['BLBW'],['BLWA'],['SEFU'],Passeriformes,New World Warblers,Parulidae,,,
Yellow Warbler,Setophaga petechia,yelwar,species,32798.0,['YEWA'],['AYWA'],['SEPE'],Passeriformes,New World Warblers,Parulidae,,,
Chestnut-sided Warbler,Setophaga pensylvanica,chswar,species,32839.0,['CSWA'],[],['SEPE'],Passeriformes,New World Warblers,Parulidae,,,
Blackpoll Warbler,Setophaga striata,bkpwar,species,32841.0,['BLPW'],['BLWA'],['SEST'],Passeriformes,New World Warblers,Parulidae,,,
